tweet id,user id,username,content,sentiment,target,annotator id,user_location,user_bio,user_verified
10040278199,3365,KarlFrisch,Robert Byrd: Editorial Resembles 'Barkings From The Nether Regions Of Glennbeckistan' - http://ow.ly/1eMSG - #hcr #healthcare,negative,conservatives,jbaldrid,"Washington, DC","Democratic Strategist. Former flack for @MMFA, @DSCC, @LouiseSlaughter, @CA_Dem etc. @VictoryFund Campaign Boardmember & Eastern Caucus Chair.",False
9949679630,3365,KarlFrisch,MUST READ by @JamisonFoser: How did media cover GOP's 2003 use of reconciliation? They didn't. http://ow.ly/1dWT2 #hcr #healthcare,negative,other,mvaidya,"Washington, DC","Democratic Strategist. Former flack for @MMFA, @DSCC, @LouiseSlaughter, @CA_Dem etc. @VictoryFund Campaign Boardmember & Eastern Caucus Chair.",False
10301417226,645043,injuryexpert,"RT @adityasood: If Dems didn't have reason to pass #HCR before, they do now. Pass it and Limbaugh will leave the USA! http://bit.ly/anFKmq",positive,hcr,msharma,Indianapolis,I wrote about injuries.,True
9862213409,650903,hrana,News: #Medicare patients brace for doctor boycott http://bit.ly/ceuoxF - It has some tips on what to do if you're dropped. #hcr,positive,hcr,luxanderson,221b Baker Street,"I tweet mostly about medicine, politics, and tech. Please see the link for a disclaimer and other policies. Connect with me here: http://t.co/8iIX9AF1Ku",False
10186097163,694563,FullMtlPatriot,55% of Americans want Congress to scrap current health care legislation & START OVER http://bit.ly/5qDm63 #tcot #hcr #teaparty #letmebeclear,negative,hcr,jbaldridge,"Dallas, Texas","12th gen. American, Constitutionalist, Harley-riding Texan, gun owner & NRA member. Follow ≠ endorsement. #TCOT",False
9634286658,813286,BarackObama,#OFA staff are tweeting live updates from today's #HCR meeting here:  http://bit.ly/cMF0dE Stay tuned for highlights throughout the day.,neutral,hcr,AMahmud,"Washington, DC",This account is run by Organizing for Action staff. Tweets from the President are signed -bo.,True
9938342381,980611,Karoli,RT @Marnus3: Message to republicans: We pushed the reset button on 11/4/08. #p2 #hcr #ACORN,negative,gop,ddean,West Coast,"Opinionator, Dark Money Tracker",False
10228018429,980611,Karoli,"RT @KagroX: This #hcr march has gotten considerably larger, joined by other groups en route. Likely several thousand out now.5-7k? More? #m9",neutral,hcr,kona,West Coast,"Opinionator, Dark Money Tracker",False
10336291837,980611,Karoli,83% of MoveOn's 5 million Members support passing the damn bill. I view that as an overwhelming majority. #hcr #ptdb,positive,hcr,nweaver,West Coast,"Opinionator, Dark Money Tracker",False
10254232168,1759131,kflanagan,"RT @ArrghPaine: RT @swilbert1: Kucinich to a starving man ''Sorry, a half loaf will just not do.'' || Ding! #p2 #hcr #OFA",positive,hcr,supadhyay,"Raleigh, NC","Liberal with a sense of history, not bashful about calling BS. 
One of those yankees who moved into The South for the weather.",False
9976313454,3237221,scbalazs,The Republicans' big lie about reconciliation #p2 #tcot #hcr #gopfail http://ow.ly/1e9GU,negative,gop,mteisberg,"iPhone: 38.792118,-77.070412","e-mail, SMS, messaging, digital product/strategy/marketing guy at WashPost; tweeting on media, marketing, tech, politics; scbalazs on all socialnets; my tweets",False
10230568645,3819931,joewo,@BettyNguyenCNN How about checking out the health care rally in DC with tag as #m9 #hcr #tcot #p2,negative,other,supadhyay,"San Mateo, CA","Me-Joe.Dog-Libby. Source of the Fed Debt-Bush!! http://t.co/5CO2DpoYHV
USA=LIBERAL nation http://t.co/oEcV8Hdsf5",False
10228100333,4090261,mkoshark,"@tonyharrisCNN #hcr march has gotten considerably larger, joined by other groups en route. Likely several thousand out now.5-7k? More? #m9",neutral,hcr,supadhyay,"Brooklyn, NY","Writer, Smartass, Messaging Consultant. Tune in for irreverent commentary on culture, politics, comedy, tech & life.",False
9935527157,4923811,mkhammer,RT @jcohntnr: Docs into East Room now. Here to save the patient? Perform minor surgery? Autopsy? I got a million of 'em. #hcr #healthreform,negative,hcr,mvaidya,"Washington, D.C.",,False
10219125798,5144511,lhughes,What Obama has done is expose the progressive incremental expansionism that has been alway going on. #tcot #tlot #teaparty #hcr,neutral,hcr,mfarag,Vermont,Libertarian conservative slugging it out in a blue state.  Marketing database guy in CPG. Bass fisherman.  Lake Champlain. Suffering Vikings & Mets fan.,False
10672580080,5357812,johnboehner,RT @michellemalkin: Boehner: ''It's not too late 4 American ppl to speak up & make it clear they don't like this; yell a little louder.'' #hcr,negative,hcr,yjassal,"West Chester, Ohio","I represent Ohio's 8th Congressional District and serve as Speaker of the House; am fighting for a smaller, more accountable government.",True
10594850893,5815592,blurb,Dems: yes you can pass healthcare reform! Don't let ignorance and fear rule our days any longer! #hcr,positive,hcr,lbher,Salt Lake City / Brooklyn,"Podcaster @ttcashow, Blogger. Photographer.  http://t.co/2lESeJrvVO. I am not associated with http://t.co/VRJsoisorh. You'll want @blurbbooks for that.",False
10642175388,6980622,MediaLizzy,Final thought on Obama's @FoxNews Interview w/Bret Baier: MAN UP. #hcr #tcot #gop #sgp,negative,obama,dadaniel,Girl HQ,"Media & Communications Director, @PanziUSA. Tweets/opinions mine, obvi. Live right. Be worthy. Make a difference.",False
10233691334,7231112,jadedfox,RT @mat: Best #HCR argument yet: Urolagnia enthusiast radio host Rush Limbaugh vowed to abandon the USA if it passes: http://bit.ly/ajCc4S,positive,dems,sreed,"37.797149,-122.265068","Just this fox from Boston, living in San Francisco, doing the best possible to get by.  Nothing special, ya know?",False
9987035032,7334712,CtMan1,"RT @UTsavage: RT @AngryLiberal Aetna, Cigna, Humana, United Health & Wellpoint record profits of $12.2 billion #P2 http://bit.ly/aHv8TY #HCR",negative,liberals,nnaz,"New Milford, Connecticut",Just an unaffiliated Blogger kicking corrupt politicians at my Blog and ePluribus Media,False
10132667040,7619982,davidbadash,"@Aubs89 I'm convinced something is better than nothing. If #HCR fails, more people will die, more will go bankrupt. It's a start.",positive,hcr,snuon,Manhattan,"Editor, The New Civil Rights Movement. Married to @CalebEigsti. Father to @TextTheDog.",False
10239984258,7713202,GOPLeader,RT @WMRepublicans President's Remarks Yesterday Don't Match Reality: Dems' Bills INCREASE Premiums http://bit.ly/9Klc8V #hcr,negative,hcr,aluckhardt,"Washington, DC",Official Twitter account for U.S. House Speaker John Boehner (R-OH),True
10281108398,7713202,GOPLeader,The Dem scheme to ram health care takeover through Congress now has a name: the Slaughter Solution http://bit.ly/aMxRVS #hcr,negative,dems,athornton,"Washington, DC",Official Twitter account for U.S. House Speaker John Boehner (R-OH),True
9891780777,7713202,GOPLeader,President Obama to America:  We're Sticking With Our Fundamentally-Flawed Government Takeover of Health Care http://bit.ly/dklZei #hcr,negative,hcr,bwelch,"Washington, DC",Official Twitter account for U.S. House Speaker John Boehner (R-OH),True
10670289215,7713202,GOPLeader,"RT @CNN RT @cnnbrk: Idaho challenges national health care proposal, more may follow http://ow.ly/1nMq7 #hcr",neutral,hcr,ddean,"Washington, DC",Official Twitter account for U.S. House Speaker John Boehner (R-OH),True
10084363753,7713202,GOPLeader,"Larry Kudlow: `With Obamacare, the government is selling a product that the rest of the country doesn't want' http://bit.ly/a9Vwqt #hcr",negative,hcr,ewilliams,"Washington, DC",Official Twitter account for U.S. House Speaker John Boehner (R-OH),True
9987260347,7713202,GOPLeader,Leader Boehner will be on @LarsLarsonShow at 3:05 EST to discuss the Dems' gov't takeover of #hcr,neutral,gop,faiza,"Washington, DC",Official Twitter account for U.S. House Speaker John Boehner (R-OH),True
10035717135,7713202,GOPLeader,RT @ALEC_States Virginia First State to Pass #healthcare Freedom Act: 38 states lining up against Obamacare http://bit.ly/au967R #hcr,negative,hcr,jbaldrid,"Washington, DC",Official Twitter account for U.S. House Speaker John Boehner (R-OH),True
